"Numero","IDM","SECTOR","SECCION","CIUDAD","NSE_CS2_1","NSE","EDAD","SEXO","OCUPACION","ZONAS","LOCALIDAD_COMUNA","MANZANA","F1","F0","F01","CS1","CS2","CS2_C_1","CS2A","CS3","H1","CS3_18","CS2_1","CS4","CS5","AG1","AG2","CV1","CO2","CO4","CO1_1","CO1_2","CO1_3","AL1","AL2","CS7A","CS7A_C_1","CS7B","CS7B_C_1","ED25_1","ED25_2","ED25_3","ED25_4","ED25_6","ED25_7","ED25_89","COD_ED25","ED5A","ED1C_1","ED1C_2","ED1C_3","ED4","ED8","SA2","SA3","SA4","SA22","SP1","SP2","SP3","SP5","SP6","SP7","SP8","VS0","VS2","VS4","VS6","VS6A_1","VS6A_2","VS6A_3","VS6A_4","VS6A_5","VS7","VS8","VS9_1","VS9_2","VS9_3","VS9_4","VS9_5","VS9_6","VS9_7","VS9_8","VS9_9","VS9_10","VS9_11","VS9_12","CV4","VS15","VS17","VS18","JCV1_1","JCV1_2","JCV1_3","JCV1_4","JCV1_5","JCV1_6","JCV1_7","JCV2_1","JCV2_2","JCV2_3","JCV2_4","JCV2_5","JCV2_6","JCV2_7","JCV3_1","JCV3_2","JCV3_3","JCV3_4","JCV3_5","JCV3_6","JCV3_7","JCV3_8","JCV3_9","JCV3_10","JCV3_2_1","JCV3_2_2","JCV3_2_3","JCV3_2_4","JCV3_2_5","JCV3_2_6","JCV3_2_7","JCV3_2_8","JCV3_2_9","JCV3_2_10","JCV4","JCV5_a","JCV5_b","JCV5_c","JCV_d","JCV5_e","JCV5_f","JCV5_g","JCV6","JCV7","PC7G_1","PC7G_2","PC7G_3","PC7G_4","PC7G_5","PC7G_6","PC7G_7","PC7G_8","PC7G_9","PC7G_10","PC7G_11","PC7G_12","PC7G_13","PC7G_14","PC7G_15","PC7G_16","RC1_1","RC1_2","RC1_3","RC1_4","RC1_5","RC1_6","RC1_7","RC1_8","RC1_9","RC1_10","RC1_11","RC1_12","RC1_13","RC1_14","RC1_15","RC3_1","RC3_3","RC3_9","RC3_10","RC3_30","RC4_2","RC4_3","RC4_4","RC4_5","RC4_6","RC4_7","RC4_8","RC4_9","RC4_10","RC4_11","RC4_20","RC5_5","RC5_6","RC5_9","RC5_40","RC5_14","RC5_15","RC5_16","RC5_24","RC5_41","RC5_42","RC5_45","RC5_48","RC5_49","CR1_1","CR1_2","CR1_3","CR1_4","CR1_5","CR1_6","CR1_7","CR1_8","CR1_9","CR1_10","CR1_11","CR2","CR3_1","CR3_2","CR3_3","CR3_4","CR3_5","CR3_6","CR3_7","CR4","MV2","MV3","MV4","MV6","MV22","EP1","MA4_a","MA4_b","MA4_c","MA4_d","MA4_e","MA4_f","MA4_g","MA13_1","MA13_2","MA13_3","MA13_4","MA13_5","MA13_6","MA13_7","MA13_8","MA13_9","MA13_10","GP1_87","GP1_85","GP1_89","GP1_92","GP1_98","GP1_99","GP1_100","GP1_102","GP1_106","GP1_113","GP1_107","GP1_648","PR1A_1","PR1A_2","PR1A_3","GG1","GG2","GG3","CV5","GG7","COY10","CC2","CC5","MC8A_1_1","MC8A_1_2","MC8A_1_3","BOG_MC1","BOG_MC2","BOG_MC3","BOG_MC4","BOG_MC5_1","BOG_MC5_2","BOG_MC5_3","BOG_MC5_4","BOG_MC5_5","BOG_PI1_1","BOG_PI1_2","BOG_PI1_3","BOG_PI1_4","BOG_PI1_5","BOG_PI2","BOG_PI3","P01AUT1","P02AUT2","COD_BARRIO","INCIDENCIAS_1","INCIDENCIAS_2","INCIDENCIAS_3","INCIDENCIAS_4","INCIDENCIAS_6","INCIDENCIAS_7","INCIDENCIAS_8","OBSERVACIONES_INCIDENCIAS","GEOLOCATION_LATITUDE","GEOLOCATION_LONGITUDE","PON"
141897,"918","3103","2",11001,3,3,4,1,6,4,17,"10",1,1,1,1,1,51,4,1,1,3,3,6,6,2,4,4,3,2,3,3,3,2,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,5,1,2,4,1,1,3,4,4,4,4,3,4,4,4,2,10,NA,NA,NA,NA,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,2,2,4,4,3,4,1,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,1,2,2,2,1,1,3,3,1,2,7,9,12,NA,NA,NA,NA,NA,NA,4,2,3,5,7,NA,NA,NA,4,3,7,4,2,5,3,3,3,2,2,1,1,4,13,5,6,11,49,NA,NA,NA,NA,NA,2,3,3,1,2,2,1,1,1,2,2,2,5,1,112,2,2,3,2,3,2,2,2,1,2,NA,4,4,4,4,1,3,4,2,5,1,2,2,2,1,4,1,2,1,191,25,5,8,0,0,0,0,"No","4.6004393","-74.0676828",0.344618368173651
141912,"918","3103","2",11001,3,3,4,1,1,4,17,"10",1,1,1,1,1,53,4,5,1,2,3,5,1,2,2,3,4,2,2,2,2,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,4,1,4,4,5,4,5,4,4,4,4,4,2,4,NA,NA,NA,NA,5,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,5,5,3,4,2,1,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,4,4,4,4,2,2,3,3,2,3,3,1,5,4,2,4,5,2,3,4,5,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,3,1,1,5,2,5,2,3,3,2,3,1,1,2,7,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,1,1,1,1,2,1,3,111,1,30,1,3,5,4,3,2,2,3,5,NA,NA,3,5,7,6,5,1,2,3,4,5,2,4,5,5,4,1,2,1,191,0,8,0,0,0,0,0,"No","4.6004063","-74.0676045",0.207597046337831
141920,"918","3103","2",11001,3,3,1,1,3,4,17,"10",1,1,1,1,1,18,1,1,2,1,3,5,3,2,2,4,4,2,3,1,3,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,6,5,1,5,5,5,3,5,5,1,5,1,5,2,46,NA,NA,NA,NA,5,3,2,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,3,4,5,1,4,4,1,4,6,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,4,3,4,4,3,3,4,2,4,3,3,4,1,1,1,4,4,1,3,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,3,NA,NA,NA,NA,5,1,1,5,2,3,3,1,3,3,1,1,2,2,13,5,11,49,NA,NA,NA,NA,NA,NA,3,3,2,1,1,2,1,1,2,2,3,1,4,2,111,2,3,2,1,5,2,2,2,1,10,45,3,3,2,2,2,3,4,5,1,3,4,4,1,1,4,1,2,1,11,8,6,4,0,0,0,0,"No","4.6004179","-74.0676619",0.281193661864098
141934,"918","3103","2",11001,3,3,1,1,3,4,17,"10",1,1,1,1,1,18,1,3,1,3,3,6,3,1,4,3,3,2,2,2,3,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1,5,3,1,4,5,4,4,4,4,3,3,2,3,1,NA,NA,NA,NA,NA,4,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,3,1,1,2,1,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,4,4,3,4,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,4,4,4,3,3,4,2,4,4,3,3,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,4,6,7,NA,NA,4,1,1,3,3,3,4,2,3,3,4,2,1,4,7,11,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,3,2,1,1,3,2,67,111,2,2,2,3,3,4,4,2,2,90,NA,NA,4,1,5,3,3,5,1,2,4,3,3,2,4,4,3,1,1,1,191,6,3,9,8,0,9,1,"No","4.6004255","-74.0676798",0.281193661864098
141935,"2265","8205","1",11001,4,2,1,1,1,5,2,"31",1,1,1,1,1,24,1,1,5,1,4,6,1,1,4,4,2,2,2,3,3,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,6,3,1,1,1,5,5,5,5,5,5,4,4,2,4,NA,NA,NA,NA,4,5,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,2,2,1,1,1,1,3,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,3,3,3,1,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,3,2,2,4,4,1,1,1,4,3,4,3,3,3,5,4,5,3,4,5,3,5,2,4,4,1,2,9,10,12,NA,NA,NA,NA,NA,NA,5,2,3,4,6,7,NA,NA,5,3,1,3,3,4,2,1,3,2,1,2,1,3,2,13,5,6,7,11,NA,NA,NA,NA,3,3,2,1,1,2,1,2,2,1,3,3,5,4,116,2,1,2,2,5,3,4,NA,2,4,5,5,4,6,6,4,5,2,1,3,3,1,3,2,3,4,1,1,1,158,5,1,0,0,0,0,0,"El idm aparece como 2 pero las manzanas es estrato 4","4.6465475","-74.055751",0.580702383909899
141951,"918","3103","2",11001,3,3,5,2,4,4,17,"10",1,1,1,2,1,80,5,1,1,2,3,5,4,2,3,4,1,2,1,2,2,2,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,4,1,5,4,1,4,4,4,2,4,4,3,5,4,4,1,NA,NA,NA,NA,NA,5,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,2,2,1,2,3,3,1,1,2,2,2,2,1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,2,5,5,5,5,4,3,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,2,2,2,3,3,2,1,3,3,3,3,3,2,3,3,2,3,2,2,3,3,2,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,3,1,1,4,5,3,2,3,3,3,3,2,2,2,2,13,4,6,7,11,48,49,NA,NA,1,3,3,3,2,1,1,2,3,3,3,2,111,30,1,1,4,4,3,4,2,2,3,90,NA,NA,3,2,4,4,2,1,5,4,3,4,2,2,5,5,3,1,1,1,191,2,6,2,0,0,0,0,"No","4.6003959","-74.0676225",0.202084160767773
141958,"918","3103","2",11001,3,3,5,2,6,4,17,"10",1,1,1,2,1,61,5,2,1,3,3,6,6,2,2,1,3,2,1,1,2,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,1,1,5,1,5,5,5,5,5,5,5,3,4,4,1,NA,NA,NA,NA,NA,5,4,13,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,3,1,3,3,3,3,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,3,1,3,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,7,8,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,4,2,5,2,5,4,4,3,5,4,4,3,4,1,1,1,4,2,3,1,3,1,1,4,3,1,2,3,10,12,NA,NA,NA,NA,NA,NA,4,6,7,NA,NA,NA,NA,NA,4,2,1,5,2,3,2,3,2,3,3,3,3,4,2,13,4,5,6,7,11,49,NA,NA,1,1,1,1,1,1,1,3,3,1,3,2,111,30,1,2,2,2,3,3,2,2,2,19,NA,NA,5,4,7,1,1,2,3,4,5,5,4,5,5,3,1,2,2,2,191,0,8,0,0,0,0,0,"No","4.6004474","-74.0676263",0.317503565719751
141960,"918","3103","2",11001,3,3,1,2,1,4,17,"10",1,1,1,2,1,19,1,2,1,2,3,6,1,1,3,2,3,1,3,3,3,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,2,NA,NA,2,5,4,5,4,3,4,4,4,3,4,2,9,NA,NA,NA,NA,4,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,1,1,2,1,2,3,1,3,1,1,1,2,2,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,1,4,3,3,2,1,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,3,2,4,4,3,3,1,2,3,2,2,1,2,1,2,2,2,3,3,4,3,4,1,1,1,2,8,9,10,11,12,NA,NA,NA,NA,NA,4,4,6,7,NA,NA,NA,NA,4,2,13,3,3,3,2,1,1,1,1,1,1,1,2,13,4,5,6,7,11,49,NA,NA,1,1,3,1,2,1,1,1,1,1,3,2,108,109,4,2,1,1,2,4,2,2,3,1,2,3,1,1,2,3,2,4,1,5,3,2,1,2,3,3,4,1,1,1,191,25,6,9,9,0,9,0,"No","4.6004649","-74.0676908",0.409174858984595
141973,"918","3103","2",11001,3,3,2,2,1,4,17,"10",1,1,1,2,1,28,2,6,1,4,3,6,1,2,3,2,3,2,3,2,3,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,1,3,4,1,4,4,4,2,4,4,2,2,2,2,2,24,NA,NA,NA,NA,4,2,7,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,4,4,3,3,2,4,4,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,3,2,2,2,2,1,1,2,3,1,1,1,4,2,4,4,5,1,4,3,2,5,3,1,3,1,2,3,5,6,8,9,10,11,12,NA,4,2,4,5,6,7,NA,NA,4,1,1,3,3,4,2,1,1,2,1,1,1,2,2,13,5,6,7,11,49,NA,NA,NA,3,1,1,1,2,1,1,3,1,2,3,3,5,113,4,1,1,1,1,4,2,1,3,1,29,NA,1,4,7,3,2,1,3,4,5,3,1,3,5,2,4,2,1,1,191,6,4,3,0,0,0,0,"No","4.6004065","-74.0676015",0.594094620817991
141987,"918","3103","2",11001,3,3,5,2,6,4,17,"10",1,1,1,2,1,72,5,1,1,5,3,6,6,1,5,5,3,2,3,4,3,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,5,1,5,5,5,5,5,90,5,5,3,3,1,NA,NA,NA,NA,NA,5,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,2,3,3,3,1,1,3,3,2,2,2,2,2,2,1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,4,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,NA,NA,NA,NA,NA,5,2,1,5,2,3,4,4,4,4,4,5,5,3,2,13,4,5,6,7,11,49,NA,NA,1,1,1,3,3,1,3,3,1,3,3,3,1,30,111,1,5,5,5,4,3,1,4,1,10,NA,5,4,7,6,3,5,4,2,1,5,2,1,5,2,4,2,2,1,191,0,0,0,0,0,0,0,"No","4.600448","-74.0676465",0.317503565719751
141990,"2407","8501","3",11001,3,3,4,1,1,6,1,"11",1,1,1,1,1,49,4,1,1,5,3,5,1,1,5,5,4,2,1,4,3,2,NA,0,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,99,1,1,5,1,5,5,5,5,5,5,4,4,3,4,2,4,NA,NA,NA,NA,4,4,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,1,3,2,3,1,1,3,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,3,4,3,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,4,1,1,1,1,1,1,1,4,3,1,1,5,3,5,4,5,5,5,5,5,5,3,5,5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,90,NA,NA,NA,NA,NA,NA,5,3,1,5,1,3,3,2,3,2,3,1,1,1,2,13,5,7,11,NA,NA,NA,NA,NA,1,1,1,3,1,3,3,1,1,1,3,3,1,4,124,1,4,4,5,2,2,1,3,1,4,NA,2,3,1,1,2,4,1,5,3,4,5,1,5,5,2,1,1,1,320,5,5,5,4,0,0,0,"Ninguno","4.7465254","-74.0399126",1.48873470322147
141991,"2407","8501","3",11001,3,3,1,2,1,6,1,"11",1,1,1,2,1,22,1,5,1,4,3,5,1,1,5,5,4,2,3,4,3,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,1,1,4,1,90,5,5,5,5,5,5,5,5,5,2,4,NA,NA,NA,NA,4,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,5,3,2,3,1,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4,3,3,4,3,3,3,2,3,4,3,3,3,4,2,3,2,1,4,4,2,3,2,4,2,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,90,NA,NA,NA,NA,NA,NA,5,1,1,4,3,3,4,2,3,1,4,2,2,3,5,7,11,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,1,3,1,2,1,1,1,114,111,1,1,4,4,4,3,2,1,4,2,NA,NA,3,2,6,1,3,1,5,4,2,4,1,1,2,4,3,1,1,1,320,5,2,2,0,0,0,0,"Ninguno","4.7463908","-74.0399269",3.21322029407303
141992,"2407","8501","3",11001,3,3,2,2,1,6,1,"7",1,1,2,2,1,35,2,2,1,4,3,5,1,1,4,4,4,2,3,3,4,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,1,5,5,4,5,4,5,4,5,5,5,1,NA,NA,NA,NA,NA,5,4,2,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,2,2,4,3,3,4,2,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,3,2,2,3,2,3,3,2,2,3,3,3,2,3,2,2,2,2,2,3,2,2,2,3,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,90,NA,NA,NA,NA,NA,NA,5,1,1,3,3,3,3,2,2,3,2,3,3,3,2,13,5,7,11,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,2,2,1,1,1,4,114,111,2,2,2,3,3,4,2,2,5,NA,NA,3,3,3,3,3,4,2,1,5,3,3,2,2,3,3,1,2,1,170,5,4,9,0,0,0,0,"La señora por seguridad nose deja grabar la voz","4.74698","-74.0402962",4.66538168290507
141993,"2407","8501","3",11001,3,3,1,1,3,6,1,"16",1,1,1,1,1,18,1,3,1,4,3,5,3,1,4,5,4,2,3,4,4,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,2,NA,NA,1,5,5,5,4,3,5,4,4,3,3,1,NA,NA,NA,NA,NA,4,3,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,2,2,3,4,2,1,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,3,3,4,2,2,2,3,3,3,2,2,2,3,2,3,2,4,3,4,3,4,4,3,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,2,1,3,4,3,4,2,2,1,1,1,1,2,13,5,11,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,1,1,1,114,108,4,2,3,2,2,2,3,1,3,3,NA,NA,2,2,3,1,1,5,4,3,2,4,3,4,3,3,3,1,1,1,170,5,6,5,0,0,0,0,"Ninguno","4.7536779","-74.0970508",2.01651598675332
141994,"2407","8501","3",11001,3,3,5,1,6,6,1,"10",1,1,2,1,1,63,5,1,1,2,3,3,6,1,4,4,4,2,3,4,3,2,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,2,NA,NA,1,5,4,4,4,5,4,5,4,4,4,1,NA,NA,NA,NA,NA,4,3,2,3,7,13,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,2,4,2,2,5,4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,2,3,3,2,3,2,2,2,3,2,2,2,3,4,2,3,3,4,3,3,2,3,3,3,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,90,NA,NA,NA,NA,NA,NA,4,1,1,3,3,3,4,2,3,2,3,3,2,2,2,13,5,7,11,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,114,5,2,2,2,2,2,3,4,1,3,3,NA,NA,3,3,2,2,3,4,1,2,5,2,3,3,2,3,4,1,2,1,170,4,5,2,0,0,0,0,"Nose dejo grabar la voz  por seguridad","4.7529883","-74.0964725",1.8843649203638
141995,"2407","8501","3",11001,3,3,3,2,4,6,1,"7",1,1,1,2,1,40,3,2,1,2,3,5,4,1,4,5,4,2,3,4,4,2,NA,0,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,5,99,2,NA,NA,1,5,5,5,5,5,5,5,5,5,5,2,10,NA,NA,NA,NA,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,3,5,5,5,3,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,2,4,3,3,4,3,2,3,4,2,4,2,4,5,5,5,4,5,4,5,4,5,5,4,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,5,1,13,5,2,1,5,3,1,4,4,3,4,2,5,7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,1,1,1,3,1,111,114,113,2,2,2,2,3,4,1,4,3,NA,NA,1,1,7,3,3,1,4,5,2,4,1,3,4,1,4,1,1,1,320,4,5,5,0,0,0,0,"Ninguno","4.7475075","-74.0395115",3.14482556571035
141996,"2408","8501","4",11001,3,3,3,2,1,6,1,"4",1,1,1,2,1,43,3,2,1,3,3,6,1,2,3,3,3,2,3,3,1,2,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,5,1,1,3,1,5,4,5,5,1,5,4,5,3,1,1,NA,NA,NA,NA,NA,5,4,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,4,1,1,1,1,1,1,3,1,2,2,2,2,2,2,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,2,3,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,6,7,8,9,10,15,NA,NA,NA,NA,NA,NA,1,1,1,2,3,4,4,4,4,3,3,4,2,3,4,3,5,5,2,3,1,5,5,4,4,5,5,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,5,6,7,NA,NA,2,2,1,2,5,5,3,3,4,1,3,2,2,2,13,5,6,7,11,48,49,NA,NA,NA,1,1,1,1,1,1,1,2,1,1,3,1,113,114,111,2,1,2,3,1,4,1,3,1,NA,NA,5,1,1,6,2,4,5,3,1,4,4,4,3,3,4,2,1,1,320,5,4,2,0,0,0,0,"Ninguno","4.7474955","-74.0395213",2.97642978448108
